epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.8919,1.55598,2.21328,1.40078,0.73454,0.69877,0.74032,0.38155,1.66169,1.28854,1.42088,0.00023753,0.00023753,0.00023753
2,192.605,1.42004,1.4418,1.29057,0.83511,0.73369,0.80621,0.44739,1.58614,1.08615,1.36039,0.000466114,0.000466114,0.000466114
3,286.403,1.39778,1.2573,1.27224,0.77775,0.74952,0.78987,0.44361,1.571,1.09028,1.36847,0.000685274,0.000685274,0.000685274
4,379.766,1.37972,1.1418,1.25078,0.82085,0.76605,0.82689,0.48501,1.50708,0.97814,1.30718,0.000671588,0.000671588,0.000671588
5,472.924,1.32752,1.06212,1.21481,0.80107,0.72887,0.80034,0.45525,1.54979,1.00607,1.31371,0.000657451,0.000657451,0.000657451
6,566.279,1.30894,1.00223,1.20412,0.82213,0.80813,0.83233,0.49576,1.47326,0.89005,1.30049,0.000643314,0.000643314,0.000643314
7,659.697,1.2795,0.97533,1.19385,0.85169,0.81224,0.85839,0.52032,1.44905,0.84917,1.26862,0.000629177,0.000629177,0.000629177
8,752.947,1.25153,0.94302,1.18204,0.83747,0.82583,0.8626,0.51118,1.48867,0.84083,1.2691,0.00061504,0.00061504,0.00061504
9,846.329,1.2382,0.91048,1.17264,0.85109,0.79252,0.8585,0.51413,1.47688,0.84937,1.27229,0.000600902,0.000600902,0.000600902
10,939.673,1.22019,0.8997,1.16432,0.86064,0.82768,0.8722,0.5415,1.40953,0.787,1.23691,0.000586765,0.000586765,0.000586765
11,1033.23,1.19787,0.86326,1.15161,0.85297,0.84015,0.87628,0.54382,1.39176,0.77448,1.23638,0.000572628,0.000572628,0.000572628
12,1126.33,1.20233,0.85468,1.1434,0.86679,0.83106,0.88205,0.55459,1.39958,0.76298,1.23072,0.000558491,0.000558491,0.000558491
13,1219.47,1.19116,0.8412,1.14992,0.85475,0.83961,0.87872,0.5383,1.42172,0.7622,1.24034,0.000544354,0.000544354,0.000544354
14,1312.51,1.18114,0.83505,1.14097,0.8834,0.83264,0.88446,0.55641,1.3955,0.74907,1.22605,0.000530216,0.000530216,0.000530216
15,1405.69,1.15317,0.81229,1.12908,0.85608,0.83257,0.87517,0.54751,1.39343,0.74964,1.23267,0.000516079,0.000516079,0.000516079
16,1498.72,1.17444,0.81002,1.12966,0.86152,0.84209,0.88281,0.55596,1.3717,0.73801,1.21098,0.000501942,0.000501942,0.000501942
17,1591.79,1.14083,0.77791,1.12439,0.85972,0.84795,0.88839,0.55971,1.37439,0.73509,1.21233,0.000487805,0.000487805,0.000487805
18,1684.83,1.13986,0.7785,1.12037,0.87891,0.84153,0.88203,0.55517,1.37198,0.7142,1.21325,0.000473668,0.000473668,0.000473668
19,1777.83,1.11638,0.74928,1.109,0.88596,0.85337,0.89302,0.57226,1.36094,0.7165,1.20646,0.00045953,0.00045953,0.00045953
20,1871.04,1.11211,0.74519,1.09714,0.8938,0.83934,0.89269,0.56884,1.37289,0.7116,1.2059,0.000445393,0.000445393,0.000445393
21,1964.2,1.11585,0.74316,1.10782,0.87965,0.8606,0.89604,0.56997,1.3553,0.69464,1.19992,0.000431256,0.000431256,0.000431256
22,2057.22,1.1104,0.73761,1.10034,0.8807,0.84584,0.89225,0.57276,1.34768,0.68955,1.19416,0.000417119,0.000417119,0.000417119
23,2150.28,1.10357,0.72987,1.10372,0.86822,0.86239,0.89639,0.57261,1.35039,0.68981,1.20671,0.000402982,0.000402982,0.000402982
24,2243.27,1.09566,0.72861,1.10048,0.88541,0.85185,0.8958,0.56962,1.35444,0.67779,1.19609,0.000388844,0.000388844,0.000388844
25,2336.23,1.0708,0.69774,1.08012,0.88503,0.85091,0.89259,0.57107,1.36296,0.68869,1.2042,0.000374707,0.000374707,0.000374707
26,2429.68,1.07327,0.70162,1.08302,0.88964,0.8601,0.89988,0.58435,1.33628,0.67647,1.18254,0.00036057,0.00036057,0.00036057
27,2523.05,1.06171,0.67807,1.07672,0.88047,0.86115,0.89113,0.57644,1.33993,0.66871,1.18756,0.000346433,0.000346433,0.000346433
28,2616.42,1.06308,0.68281,1.08866,0.88264,0.85173,0.89976,0.58597,1.33453,0.66523,1.18906,0.000332296,0.000332296,0.000332296
29,2709.83,1.04859,0.67774,1.07162,0.89359,0.85971,0.90418,0.58908,1.32794,0.65662,1.18557,0.000318158,0.000318158,0.000318158
30,2803.05,1.03786,0.67988,1.07567,0.88339,0.87138,0.90575,0.59421,1.32285,0.65173,1.18371,0.000304021,0.000304021,0.000304021
31,2896.26,1.04447,0.66528,1.07261,0.89467,0.85928,0.90413,0.58792,1.32427,0.64541,1.18279,0.000289884,0.000289884,0.000289884
32,2989.51,1.03989,0.66041,1.06998,0.90068,0.86111,0.90687,0.59075,1.32888,0.64238,1.18104,0.000275747,0.000275747,0.000275747
33,3082.66,1.03775,0.65258,1.06015,0.8736,0.88325,0.91077,0.59334,1.33158,0.64044,1.18103,0.00026161,0.00026161,0.00026161
34,3175.64,1.0239,0.64356,1.06306,0.879,0.88169,0.90828,0.59254,1.32136,0.64082,1.1765,0.000247472,0.000247472,0.000247472
35,3268.66,1.02298,0.6359,1.06265,0.89246,0.86188,0.90345,0.59426,1.31563,0.63705,1.16888,0.000233335,0.000233335,0.000233335
36,3361.63,1.01289,0.63315,1.05827,0.90048,0.86479,0.90753,0.59136,1.31787,0.63385,1.17478,0.000219198,0.000219198,0.000219198
37,3454.8,1.00755,0.62388,1.05498,0.90246,0.85765,0.90805,0.59639,1.32418,0.63441,1.17392,0.000205061,0.000205061,0.000205061
38,3547.93,1.00811,0.62082,1.04902,0.90858,0.86614,0.90707,0.59658,1.31927,0.62171,1.17195,0.000190924,0.000190924,0.000190924
39,3641.22,1.0044,0.62191,1.05271,0.90036,0.86602,0.90623,0.5985,1.32209,0.63464,1.17512,0.000176786,0.000176786,0.000176786
40,3734.44,0.99719,0.60991,1.04633,0.8989,0.86888,0.9097,0.59755,1.32328,0.62196,1.17436,0.000162649,0.000162649,0.000162649
41,3825.62,0.97126,0.53456,1.02671,0.90767,0.8714,0.90582,0.59486,1.31315,0.62181,1.16867,0.000148512,0.000148512,0.000148512
42,3914.55,0.96181,0.52103,1.02063,0.89396,0.8693,0.90497,0.59559,1.31185,0.62381,1.16951,0.000134375,0.000134375,0.000134375
43,4003.38,0.95669,0.52013,1.01895,0.90923,0.87087,0.90823,0.60092,1.31122,0.61951,1.16672,0.000120238,0.000120238,0.000120238
44,4092.13,0.94555,0.50991,1.01292,0.90774,0.86721,0.91052,0.60243,1.31512,0.61571,1.16641,0.0001061,0.0001061,0.0001061
45,4180.57,0.92949,0.50289,1.00856,0.90272,0.87408,0.90775,0.59877,1.31377,0.61786,1.17101,9.19632e-05,9.19632e-05,9.19632e-05
46,4269.37,0.94941,0.50845,1.01808,0.90992,0.86862,0.91064,0.6022,1.31589,0.61403,1.17334,7.7826e-05,7.7826e-05,7.7826e-05
47,4358.06,0.92534,0.49784,1.0043,0.91657,0.86482,0.91357,0.60329,1.31403,0.6118,1.17317,6.36888e-05,6.36888e-05,6.36888e-05
48,4447.21,0.91972,0.49285,1.00183,0.91668,0.87164,0.91394,0.60513,1.30864,0.60771,1.16836,4.95516e-05,4.95516e-05,4.95516e-05
49,4536.34,0.91494,0.48553,1.00018,0.90867,0.87673,0.91347,0.60495,1.30881,0.61079,1.16712,3.54144e-05,3.54144e-05,3.54144e-05
50,4625.31,0.91562,0.48449,0.99718,0.91394,0.86787,0.9141,0.6059,1.30667,0.60943,1.16574,2.12772e-05,2.12772e-05,2.12772e-05
